Country,Year,alpha-3,own_con,own_con2,rental_rate,gep_value
Côte d'Ivoire,2015,CIV,,32650695.921093408,0.315,10284969.215144424
Côte d'Ivoire,2016,CIV,,32037960.60193988,0.315,10091957.589611063
Côte d'Ivoire,2017,CIV,,31106695.387509275,0.315,9798609.047065422
Côte d'Ivoire,2018,CIV,,29929469.94161394,0.315,9427783.031608392
Côte d'Ivoire,2019,CIV,29217408.37025487,29217408.370254867,0.315,9203483.636630284
Côte d'Ivoire,2020,CIV,,28208370.10649344,0.315,8885636.583545433
Côte d'Ivoire,2021,CIV,,26838185.670463864,0.315,8454028.486196117
Ecuador,2004,ECU,,725153.4275626203,0.083,60187.73448769748
Ecuador,2005,ECU,,703719.9594787746,0.083,58408.75663673829
Ecuador,2006,ECU,712829.2801499999,712829.28015,0.083,59164.83025245
Ecuador,2007,ECU,,785245.2034993459,0.083,65175.351890445716
Ecuador,2008,ECU,,860116.3410492509,0.083,71389.65630708783
Ecuador,2009,ECU,,951419.9639588604,0.083,78967.85700858542
Ecuador,2010,ECU,,1017675.8925173536,0.083,84467.09907894036
Ecuador,2011,ECU,,1030419.1062038764,0.083,85524.78581492175
Ecuador,2012,ECU,,1013060.0341964718,0.083,84083.98283830716
Ecuador,2013,ECU,,1069400.6668248838,0.083,88760.25534646536
Ecuador,2014,ECU,1196051.4165599998,1196051.4165599998,0.083,99272.26757447999
Ecuador,2015,ECU,,1231186.398937131,0.083,102188.47111178188
Ecuador,2016,ECU,,1208225.860677804,0.083,100282.74643625774
Ecuador,2017,ECU,,1207625.6069716534,0.083,100232.92537864724
Ecuador,2018,ECU,,1250214.7657912308,0.083,103767.82556067217
Ecuador,2019,ECU,,1310828.89968358,0.083,108798.79867373715
Ecuador,2020,ECU,,1309241.9442405538,0.083,108667.08137196596
Ecuador,2021,ECU,,1371425.154335799,0.083,113828.28780987131
Ghana,2004,GHA,,152939596.4561125,0.315,48175972.88367544
Ghana,2005,GHA,,141178849.62244478,0.315,44471337.63107011
Ghana,2006,GHA,,137173524.70429957,0.315,43209660.28185436
Ghana,2007,GHA,,132083467.01015626,0.315,41606292.108199224
Ghana,2008,GHA,,117171006.99029385,0.315,36908867.20194256
Ghana,2009,GHA,,117658992.7031163,0.315,37062582.70148163
Ghana,2010,GHA,,100353579.15062864,0.315,31611377.432448022
Ghana,2011,GHA,,91779846.41329704,0.315,28910651.620188568
Ghana,2012,GHA,,83863984.92305471,0.315,26417155.250762235
Ghana,2013,GHA,65693173.9548524,65693173.95485242,0.315,20693349.795778513
Ghana,2014,GHA,,89903232.60007808,0.315,28319518.269024596
Ghana,2015,GHA,,96977715.33021428,0.315,30547980.329017498
Ghana,2016,GHA,,90004161.0242825,0.315,28351310.72264899
Ghana,2017,GHA,118440580.70225231,118440580.70225234,0.315,37308782.92120949
Ghana,2018,GHA,,99490768.690121,0.315,31339592.137388114
Ghana,2019,GHA,,113252900.3143343,0.315,35674663.5990153
Ghana,2020,GHA,,85731096.40275699,0.315,27005295.36686845
Ghana,2021,GHA,,41702602.73356634,0.315,13136319.861073395
India,2004,IND,,4185830280.411886,0.267,1117616684.8699737
India,2005,IND,3973986456.9319,3973986456.931899,0.267,1061054384.0008171
India,2006,IND,,3709695897.4275694,0.267,990488804.6131611
India,2007,IND,,2869026626.625368,0.267,766030109.3089733
India,2008,IND,,2815832761.5778995,0.267,751827347.3412992
India,2009,IND,,2882052714.702827,0.267,769508074.8256549
India,2010,IND,,1860946907.7705896,0.267,496872824.37474746
India,2011,IND,,1339256258.6706247,0.267,357581421.0650568
India,2012,IND,1477063109.8001657,1477063109.8001657,0.267,394375850.31664425
India,2013,IND,,1854170734.716892,0.267,495063586.16941017
India,2014,IND,,1583736635.304761,0.267,422857681.6263712
India,2015,IND,,1608823075.0253773,0.267,429555761.0317758
India,2016,IND,,1436085628.4675703,0.267,383434862.8008413
India,2017,IND,,781349817.998929,0.267,208620401.40571406
India,2018,IND,,832636462.9065552,0.267,222313935.59605023
India,2019,IND,,524952009.65850735,0.267,140162186.57882148
India,2020,IND,,711039683.3624115,0.267,189847595.45776388
Iraq,2004,IRQ,,1636739.370765644,0.498,815096.2066412907
Iraq,2005,IRQ,,1770788.605718287,0.498,881852.7256477069
Iraq,2006,IRQ,,1793977.8149639042,0.498,893400.9518520243
Iraq,2007,IRQ,1922607.3937425336,1922607.3937425336,0.498,957458.4820837817
Iraq,2008,IRQ,,1807267.022242504,0.498,900018.977076767
Iraq,2009,IRQ,,2025378.935223184,0.498,1008638.7097411456
Iraq,2010,IRQ,,2197789.982460652,0.498,1094499.4112654047
Iraq,2011,IRQ,,2526481.402463016,0.482,1217764.0359871737
Iraq,2012,IRQ,2620448.728737359,2620448.728737359,0.482,1263056.287251407
Iraq,2013,IRQ,,2922281.044862846,0.482,1408539.4636238916
Iraq,2014,IRQ,,2736692.709214801,0.482,1319085.885841534
Iraq,2015,IRQ,,1995115.5669835864,0.482,961645.7032860887
Iraq,2016,IRQ,,1975939.8929292387,0.482,952403.028391893
Iraq,2017,IRQ,,1920306.353232348,0.482,925587.6622579917
Iraq,2018,IRQ,,1914866.8097488664,0.482,922965.8022989535
Iraq,2019,IRQ,,2416584.421322478,0.482,1164793.6910774345
Iraq,2020,IRQ,,2682707.083055813,0.482,1293064.8140329018
Iraq,2021,IRQ,,2256594.2419097256,0.482,1087678.4246004878
Mali,2011,MLI,,6335535.447018385,0.315,1995693.6658107913
Mali,2014,MLI,4027224.995163539,4027224.995083779,0.315,1268575.8734513905
Mali,2017,MLI,3820512.47615114,3820512.476160497,0.315,1203461.4299905566
Mali,2018,MLI,,27127702.19545281,0.315,8545226.191567635
Mali,2019,MLI,19178493.57187905,19178493.571949333,0.315,6041225.47516404
Mali,2020,MLI,,22544412.58613518,0.315,7101489.964632581
Mali,2021,MLI,,40505429.430717975,0.315,12759210.270676162
Mongolia,2004,MNG,,3407890.9650840266,0.258,879235.8689916789
Mongolia,2005,MNG,,3205759.4232014487,0.258,827085.9311859738
Mongolia,2006,MNG,,2884527.785317842,0.258,744208.1686120032
Mongolia,2007,MNG,,2630006.631685987,0.258,678541.7109749847
Mongolia,2008,MNG,,2283771.5277177766,0.258,589213.0541511864
Mongolia,2009,MNG,,2779182.46695803,0.258,717029.0764751718
Mongolia,2010,MNG,,1861224.8183227505,0.258,480196.0031272696
Mongolia,2011,MNG,,902586.9408720572,0.258,232867.43074499076
Mongolia,2012,MNG,,307387.02576340456,0.258,79305.85264695837
Mongolia,2013,MNG,,270255.08878164226,0.258,69725.81290566371
Mongolia,2014,MNG,506579.2287011335,506579.2287011836,0.258,130697.44100490537
Mongolia,2015,MNG,,928444.5203896024,0.258,239538.68626051742
Mongolia,2016,MNG,,1131162.011637649,0.258,291839.79900251346
Mongolia,2017,MNG,,1067689.7051997958,0.258,275463.9439415473
Mongolia,2018,MNG,841488.4695458551,841488.4695458352,0.258,217104.02514282547
Mongolia,2019,MNG,651103.1824500001,651103.1824499685,0.258,167984.6210720919
Mongolia,2020,MNG,,1396996.082831893,0.258,360424.98937062843
Mongolia,2021,MNG,,715933.7040012474,0.258,184710.89563232183
Malawi,2004,MWI,33813105.93612957,28586832.28245735,0.315,9004852.168974066
Malawi,2005,MWI,,33790959.6015358,0.315,10644152.274483776
Malawi,2006,MWI,,37565388.60666084,0.315,11833097.411098165
Malawi,2007,MWI,,41143806.6907711,0.315,12960299.107592897
Malawi,2008,MWI,,42274111.70313835,0.315,13316345.18648858
Malawi,2009,MWI,,42119883.88368797,0.315,13267763.423361711
Malawi,2010,MWI,46834714.03,45866856.79363251,0.315,14448059.88999424
Malawi,2011,MWI,,47512987.05518532,0.315,14966590.922383375
Malawi,2012,MWI,,62979583.69612694,0.315,19838568.864279985
Malawi,2013,MWI,54148163.31884794,70865652.32949257,0.315,22322680.48379016
Malawi,2014,MWI,,74101084.61929512,0.315,23341841.655077964
Malawi,2015,MWI,,80000912.01589584,0.315,25200287.28500719
Malawi,2016,MWI,,90489302.19949912,0.315,28504130.192842223
Malawi,2017,MWI,100730467.51322094,92822643.42923737,0.315,29239132.68020977
Malawi,2018,MWI,,95006094.67819975,0.315,29926919.823632922
Malawi,2019,MWI,,96945255.57394028,0.315,30537755.505791187
Malawi,2020,MWI,100827007.31480762,98211473.27818108,0.315,30936614.08262704
Malawi,2021,MWI,,102316120.57279968,0.315,32229577.9804319
Niger,2011,NER,9481689.225,9481689.22497964,0.315,2986732.105868587
Niger,2012,NER,,8657145.721712112,0.315,2727000.9023393155
Niger,2013,NER,,23906114.38971758,0.315,7530426.032761037
Niger,2014,NER,21751593.97825516,21751593.97828871,0.315,6851752.103160944
Niger,2017,NER,,16720012.804324985,0.315,5266804.03336237
Niger,2018,NER,,46756004.728737,0.315,14728141.489552153
Niger,2019,NER,42852315.66008572,42852315.660072505,0.315,13498479.43292284
Niger,2020,NER,,46283013.552729785,0.315,14579149.269109882
Niger,2021,NER,,65892228.62256074,0.315,20756052.01610663
Nigeria,2006,NGA,,48087037.122528434,0.315,15147416.693596456
Nigeria,2007,NGA,,134183207.67043388,0.315,42267710.416186675
Nigeria,2008,NGA,,364687235.2367888,0.315,114876479.09958847
Nigeria,2009,NGA,,64003251.169929385,0.315,20161024.118527755
Nigeria,2010,NGA,,301023841.774359,0.315,94822510.15892307
Nigeria,2011,NGA,,399900065.8876388,0.315,125968520.75460623
Nigeria,2012,NGA,,516007520.8666127,0.315,162542369.072983
Nigeria,2013,NGA,627793947.5105138,627793947.510936,0.315,197755093.46594486
Nigeria,2014,NGA,,764077759.7343204,0.315,240684494.31631094
Nigeria,2015,NGA,,496545913.55584383,0.315,156411962.77009082
Nigeria,2016,NGA,233397070.0484134,233397070.0484059,0.315,73520077.06524785
Nigeria,2017,NGA,,129078436.55703628,0.315,40659707.51546643
Nigeria,2018,NGA,,224967564.20305443,0.315,70864782.72396214
Nigeria,2019,NGA,311736690.06192696,311736690.06151223,0.315,98197057.36937635
Nigeria,2020,NGA,,181255446.44561887,0.315,57095465.63036995
Nigeria,2021,NGA,,171108792.87971604,0.315,53899269.75711055
Peru,2004,PER,,770327.3564471006,0.083,63937.17058510936
Peru,2005,PER,,808471.8417447507,0.083,67103.16286481431
Peru,2006,PER,,830318.1493213475,0.083,68916.40639367184
Peru,2007,PER,,828954.1155806482,0.083,68803.1915931938
Peru,2008,PER,,712696.5596782863,0.083,59153.81445329777
Peru,2009,PER,,792242.4230418801,0.083,65756.12111247606
Peru,2010,PER,,755340.166652292,0.083,62693.23383214024
Peru,2011,PER,,649575.5789451599,0.083,53914.773052448276
Peru,2012,PER,,627147.0045433939,0.083,52053.201377101694
Peru,2013,PER,,683187.3053232431,0.083,56704.546341829184
Peru,2014,PER,,739658.6870888174,0.083,61391.67102837184
Peru,2015,PER,931701.177079164,922381.353943318,0.083,76557.6523772954
Peru,2016,PER,1011563.0231850002,991177.217612326,0.083,82267.70906182306
Peru,2017,PER,978300.8051256,1038954.6496731936,0.083,86233.23592287507
Peru,2018,PER,1107161.6751324898,1077860.9117428064,0.083,89462.45567465294
Peru,2019,PER,1087131.1973810396,1082734.855766654,0.083,89866.99302863229
Peru,2020,PER,1178101.1219994896,1190028.6838852167,0.083,98772.380762473
Peru,2021,PER,1323762.815617263,1314584.142896384,0.083,109110.48386039988
Senegal,2004,SEN,,9111945.327902189,0.315,2870262.7782891896
Senegal,2005,SEN,,9761980.498264924,0.315,3075023.856953451
Senegal,2006,SEN,,8979180.770797119,0.315,2828441.9428010923
Senegal,2007,SEN,,9364044.38374122,0.315,2949673.9808784844
Senegal,2008,SEN,,13087471.495407024,0.315,4122553.5210532127
Senegal,2009,SEN,,12210209.64319877,0.315,3846216.0376076126
Senegal,2010,SEN,,12084064.352176731,0.315,3806480.2709356705
Senegal,2011,SEN,10408499.6193,10408499.6193,0.315,3278677.3800795
Senegal,2012,SEN,,11223472.054130416,0.315,3535393.6970510813
Senegal,2013,SEN,,11094257.641888002,0.315,3494691.1571947206
Senegal,2014,SEN,,12592272.286314892,0.315,3966565.7701891907
Senegal,2015,SEN,,13212944.18367226,0.315,4162077.417856762
Senegal,2016,SEN,,13057456.952353504,0.315,4113098.9399913535
Senegal,2017,SEN,,16492925.9539923,0.315,5195271.675507574
Senegal,2018,SEN,,20088964.78538312,0.315,6328023.907395683
Senegal,2019,SEN,20107532.83699389,20107532.83699389,0.315,6333872.843653076
Senegal,2020,SEN,,23824945.0983127,0.315,7504857.7059685
