Country,Year,alpha-3,own_con,own_con2,rental_rate,gep_value,CPI,CPI_2020,gep_value_2020
Burkina Faso,2021,BFA,,99458979.80479598,0.315,31329578.638510734,103.653532872,100.0,30225287.81262005
Côte d'Ivoire,2004,CIV,,37780334.123115234,0.315,11900805.2487813,74.19147723850509,100.0,16040663.552935466
Côte d'Ivoire,2005,CIV,,37248483.88088433,0.315,11733272.422478562,77.07443221450607,100.0,15223300.497139774
Côte d'Ivoire,2006,CIV,,36915373.35629523,0.315,11628342.607232995,78.97600604398522,100.0,14723892.97675633
Côte d'Ivoire,2007,CIV,,36575122.29646582,0.315,11521163.523386734,80.47023704829748,100.0,14317297.855692707
Côte d'Ivoire,2008,CIV,35406371.32918913,35406371.32918913,0.315,11153006.968694575,85.54672423630737,100.0,13037327.92606577
Côte d'Ivoire,2009,CIV,,35272704.6506368,0.315,11110901.964950591,86.41887700537009,100.0,12857031.183430163
Côte d'Ivoire,2010,CIV,,33652482.23943113,0.315,10600531.905420806,87.47876661210192,100.0,12117834.208186373
Côte d'Ivoire,2011,CIV,,33096448.83491564,0.315,10425381.382998427,91.77610324307088,100.0,11359581.649905741
Côte d'Ivoire,2012,CIV,,33281361.304685354,0.315,10483628.810975889,92.97333278788253,100.0,11275952.465739993
Côte d'Ivoire,2013,CIV,,33059150.60483872,0.315,10413632.440524198,95.37313290859406,100.0,10918832.298929153
Côte d'Ivoire,2014,CIV,,32502263.68495744,0.315,10238213.060761591,95.8010550622283,100.0,10686952.303511983
Côte d'Ivoire,2015,CIV,,32650695.921093408,0.315,10284969.215144424,97.00000483331132,100.0,10603060.518211856
Côte d'Ivoire,2016,CIV,,32037960.60193988,0.315,10091957.589611065,97.7014879725248,100.0,10329379.622600101
Côte d'Ivoire,2017,CIV,,31106695.387509275,0.315,9798609.047065422,98.3716039787516,100.0,9960810.488748293
Côte d'Ivoire,2018,CIV,,29929469.94161394,0.315,9427783.031608392,98.7251604073908,100.0,9549524.146331603
Côte d'Ivoire,2019,CIV,29217408.37025487,29217408.370254867,0.315,9203483.636630284,97.63240770076004,100.0,9426668.719303373
Côte d'Ivoire,2020,CIV,,28208370.10649344,0.315,8885636.583545433,100.0,100.0,8885636.583545433
Côte d'Ivoire,2021,CIV,,26838185.670463864,0.315,8454028.486196117,104.091951897,100.0,8121692.726601439
Ecuador,2004,ECU,,725153.4275626203,0.083,60187.73448769748,63.43353029070876,100.0,94883.15440093566
Ecuador,2005,ECU,,703719.9594787746,0.083,58408.75663673829,64.80894494590225,100.0,90124.52939249917
Ecuador,2006,ECU,712829.2801499999,712829.28015,0.083,59164.83025245,66.94682902119172,100.0,88375.8515787531
Ecuador,2007,ECU,,785245.2034993459,0.083,65175.35189044572,68.4706625540647,100.0,95187.26628208543
Ecuador,2008,ECU,,860116.3410492509,0.083,71389.65630708783,74.22226389935979,100.0,96183.61466835238
Ecuador,2009,ECU,,951419.9639588604,0.083,78967.85700858542,78.05210918217132,100.0,101173.25186469563
Ecuador,2010,ECU,,1017675.8925173536,0.083,84467.09907894036,80.8263756690176,100.0,104504.37543411751
Ecuador,2011,ECU,,1030419.1062038764,0.083,85524.78581492175,84.44297824460556,100.0,101281.11015599489
Ecuador,2012,ECU,,1013060.0341964718,0.083,84083.98283830716,88.75102408272414,100.0,94741.42265663676
Ecuador,2013,ECU,,1069400.6668248838,0.083,88760.25534646536,91.16662795804716,100.0,97360.46767827241
Ecuador,2014,ECU,1196051.4165599998,1196051.4165599998,0.083,99272.26757448,94.4387989533796,100.0,105118.09624292921
Ecuador,2015,ECU,,1231186.398937131,0.083,102188.47111178188,98.18485201455428,100.0,104077.6341921197
Ecuador,2016,ECU,,1208225.860677804,0.083,100282.74643625774,99.8817460868852,100.0,100401.4751093996
Ecuador,2017,ECU,,1207625.6069716534,0.083,100232.92537864724,100.29858816022038,100.0,99934.53269604528
Ecuador,2018,ECU,,1250214.7657912308,0.083,103767.82556067217,100.07381576846116,100.0,103691.28504179131
Ecuador,2019,ECU,,1310828.89968358,0.083,108798.79867373715,100.34002464264331,100.0,108430.10958111621
Ecuador,2020,ECU,,1309241.9442405538,0.083,108667.08137196596,100.0,100.0,108667.08137196596
Ecuador,2021,ECU,,1371425.154335799,0.083,113828.28780987133,100.133251386,100.0,113676.81188247731
Ghana,2004,GHA,,152939596.4561125,0.315,48175972.88367544,14.882092696940154,100.0,323717731.53637666
Ghana,2005,GHA,,141178849.62244478,0.315,44471337.63107011,17.17973780082975,100.0,258859233.74757344
Ghana,2006,GHA,,137173524.70429957,0.315,43209660.28185436,19.186190978998365,100.0,225212291.11683828
Ghana,2007,GHA,,132083467.01015626,0.315,41606292.10819922,21.245687859476103,100.0,195834055.2840316
Ghana,2008,GHA,,117171006.99029385,0.315,36908867.20194256,24.750087504562213,100.0,149126208.92810625
Ghana,2009,GHA,,117658992.7031163,0.315,37062582.70148163,29.513724030969996,100.0,125577452.24760623
Ghana,2010,GHA,,100353579.15062864,0.315,31611377.432448026,32.68154708751577,100.0,96725462.07129668
Ghana,2011,GHA,,91779846.41329704,0.315,28910651.620188568,35.53414264686381,100.0,81360205.89409149
Ghana,2012,GHA,,83863984.92305471,0.315,26417155.250762235,39.509112993447935,100.0,66863448.073722064
Ghana,2013,GHA,65693173.9548524,65693173.95485242,0.315,20693349.795778517,44.11832209523877,100.0,46904208.53065882
Ghana,2014,GHA,,89903232.60007808,0.315,28319518.2690246,50.9520807866699,100.0,55580690.3894562
Ghana,2015,GHA,,96977715.33021428,0.315,30547980.329017498,59.69034710119916,100.0,51177421.16196171
Ghana,2016,GHA,,90004161.0242825,0.315,28351310.72264899,70.10907914484454,100.0,40438857.66075391
Ghana,2017,GHA,118440580.70225231,118440580.70225234,0.315,37308782.92120949,78.78291941607212,100.0,47356436.13836213
Ghana,2018,GHA,,99490768.690121,0.315,31339592.137388118,84.93489258419221,100.0,36898371.42764684
Ghana,2019,GHA,,113252900.3143343,0.315,35674663.5990153,91.00233557282212,100.0,39201920.8896761
