Country,Year,Code,own_con,own_con2
Mongolia,2020,,,1396996.082831893
Mongolia,2021,,,715933.7040012474
Niger,2011,NER,9481689.225,9481689.224979639
Niger,2012,,,8657145.721712112
Niger,2013,,,23906114.38971758
Niger,2014,NER,21751593.978255156,21751593.97828871
Niger,2017,,,16720012.804324985
Niger,2018,,,46756004.728737
Niger,2019,NER,42852315.66008572,42852315.660072505
Niger,2020,,,46283013.552729785
Niger,2021,,,65892228.62256074
Nigeria,2006,,,48087037.122528434
Nigeria,2007,,,134183207.67043388
Nigeria,2008,,,364687235.23678875
Nigeria,2009,,,64003251.169929385
Nigeria,2010,,,301023841.774359
Nigeria,2011,,,399900065.8876388
Nigeria,2012,,,516007520.8666127
Nigeria,2013,NGA,627793947.5105138,627793947.510936
Nigeria,2014,,,764077759.7343204
Nigeria,2015,,,496545913.55584383
Nigeria,2016,NGA,233397070.0484134,233397070.0484059
Nigeria,2017,,,129078436.55703628
Nigeria,2018,,,224967564.20305443
Nigeria,2019,NGA,311736690.06192696,311736690.06151223
Nigeria,2020,,,181255446.44561887
Nigeria,2021,,,171108792.87971604
Peru,2004,,,770327.3564471006
Peru,2005,,,808471.8417447507
Peru,2006,,,830318.1493213475
Peru,2007,,,828954.1155806482
Peru,2008,,,712696.5596782863
Peru,2009,,,792242.4230418801
Peru,2010,,,755340.166652292
Peru,2011,,,649575.5789451599
Peru,2012,,,627147.0045433939
Peru,2013,,,683187.3053232431
Peru,2014,,,739658.6870888174
Peru,2015,PER,931701.177079164,922381.3539433181
Peru,2016,PER,1011563.0231850002,991177.2176123261
Peru,2017,PER,978300.8051256,1038954.6496731937
Peru,2018,PER,1107161.6751324898,1077860.9117428064
Peru,2019,PER,1087131.1973810396,1082734.855766654
Peru,2020,PER,1178101.1219994896,1190028.6838852167
Peru,2021,PER,1323762.815617263,1314584.142896384
Senegal,2004,,,9111945.327902187
Senegal,2005,,,9761980.498264924
Senegal,2006,,,8979180.770797119
Senegal,2007,,,9364044.383741219
