Country;Indicator Name;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
Brazil;GDP per capita (current US$);3623.223905;4773.26848;5866.024313;7323.19034;8801.759475;8569.901805;11249.29374;13200.55817;12327.51556;12258.56485;12071.40465;8783.214413;8680.735421;9896.717511;9121.020092;8845.323931;6923.700197;7696.785531
Brunei;GDP per capita (current US$);21839.25931;25991.2062;30767.74738;32337.28152;37427.54886;27497.5417;34609.69996;46139.10684;46844.19672;43950.05706;41035.77314;30681.43744;26762.03743;28186.98339;31241.02397;30748.32019;27179.34442;31448.91361
Bulgaria;GDP per capita (current US$);3389.687613;3899.825138;4523.147525;5888.776852;7271.305201;6988.274819;6862.757687;7856.985958;7431.014045;7686.629222;7912.52054;7081.102336;7574.191264;8386.589202;9451.85087;9878.768872;10153.4766;12222.23565
Burkina Faso;GDP per capita (current US$);405.4512762;442.9444309;457.3420749;516.750328;621.8902712;603.8775451;627.2703954;727.6124749;733.9728789;762.3037803;767.3713442;632.1266858;665.7863285;711.1845439;779.2027681;772.1668775;833.2443361;893.077196
Burundi;GDP per capita (current US$);128.5384225;151.1885411;166.2762452;170.7068764;194.7106346;204.5447557;222.6605831;236.4513474;238.2059453;241.5476657;257.8185575;289.3596271;242.5395274;244.1454221;232.0606166;216.9729709;216.8274174;221.1578034
Cambodia;GDP per capita (current US$);410.0861329;475.0693943;539.7473654;629.9210767;742.3979724;734.8151186;782.6957387;880.3103044;950.4825446;1015.220881;1098.074538;1170.742816;1281.105971;1400.899265;1533.315985;1671.3854;1577.91174;1625.235022
Cameroon;GDP per capita (current US$);1119.980861;1129.35798;1177.968605;1311.002963;1476.009078;1445.860248;1383.813864;1497.926586;1433.723927;1559.13905;1631.713986;1399.675336;1426.065481;1479.862223;1594.060109;1538.687912;1539.130547;1666.932809
Canada;GDP per capita (current US$);32143.68141;36382.50792;40504.06073;44659.89514;46710.50558;40876.31015;47562.08343;52223.69611;52669.08996;52635.17496;50955.99832;43596.13554;42315.60371;45129.4293;46547.79518;46374.15275;43349.67786;52358.62164
Cape Verde;GDP per capita (current US$);1900.888467;1972.784937;2220.098177;3268.305689;3839.863644;3592.315891;3500.977452;3880.069182;3583.461717;3757.659953;3739.278279;3169.078915;3312.696757;3534.343583;3860.454811;3928.309096;3223.735602;3557.837775
Cayman Islands;GDP per capita (current US$);;;87184.51299;89960.68303;89704.22255;81398.3236;76873.19532;75435.61523;75466.13587;75685.35837;76610.64797;77295.84566;78858.27966;81255.11227;85231.77515;89846.3211;83897.50521;88475.60088
Central African Republic;GDP per capita (current US$);309.1902426;317.8776781;340.4145172;388.4777713;446.2287699;452.9222361;459.7769816;515.2095038;525.8675036;352.226855;394.8569331;351.8797548;372.1354561;414.7403226;435.9322963;426.408753;435.4692482;461.1375109
Chad;GDP per capita (current US$);460.0670181;664.5976565;716.6677686;806.710318;936.4941362;808.1615229;896.8767042;988.1941606;969.6161419;980.0835447;1017.787762;774.4116031;691.9800774;662.8974734;720.2651009;701.6212008;643.7722162;685.690315
Chile;GDP per capita (current US$);6185.514792;7561.830548;9418.062718;10461.36609;10783.17082;10182.86056;12767.78204;14628.57246;15406.49284;15833.27592;14666.34312;13569.94813;13785.6876;15045.52785;15795.70814;14627.14502;13165.38634;16247.40102
